Agency,AgencyAcronym,Reporting Period,Agency Size,Question Number,Question,Answer,External Data Type
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.2.b,EL1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.2.c,EL2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.2.d,EL3,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.a,EL0,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.b,EL1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.c,EL2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.d,EL3,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.a,EL0,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.b,EL1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.c,EL2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.d,EL3,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1,"As per M-21-30, 'agencies must identify their critical software and adopt the required security measures 
	for the use of that software.' Provide the total number of on-premise and uniquely managed [23] software products categorized as critical software. This is a count of products rather than instances. Regardless of the number of instances deployed across an agency, the agency will count this product as one EO-Critical Software product for each uniquely managed product.


For the table below, provide the total number of on-premise and uniquely managed software products categorized as critical software for which the security measure is incorporated, the risk has been accepted for not incorporating the security measure, or the security measure is not applicable. Please note, this table only represents a subset of the required security measures outlined in Security Measures for EO-Critical Software Use.
	",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.1.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.1.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.1.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.2.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.2.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.2.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.3.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.3.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.3.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.4.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.4.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.4.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.5.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.5.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.5.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.6.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.6.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.6.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.7.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.7.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.7.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.2,Has the agency established a software inventory?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.2.1,Has the agency established and maintained a software inventory for EO-critical software? [24],,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,5.1,Number of GFE hardware assets (from 1.2.1-1.2.3) that only have IPv4 operational,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,5.2,Number of GFE hardware assets (from 1.2.1-1.2.3) that have both IPv4 and IPv6 operational,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,5.3,Number of GFE hardware assets (from 1.2.1-1.2.3) that only have IPv6 operational,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.1.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.1.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.1.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.2.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.2.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.2.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.3.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.3.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.3.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.4.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.4.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.4.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.5.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.5.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.5.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.6.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.6.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.6.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.7.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.7.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.7.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.1.a,High,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.1.d,HVA,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.2.a,High,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.2.d,HVA,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.3.a,Total count of systems (from 1.1.1) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.3.b,Total count of systems (from 1.1.2) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.3.d,Total count of tests performed,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.4.a,Total count of systems (from 1.1.1) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.4.b,Total count of systems (from 1.1.2) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.5.a,Total count of systems (from 1.1.1) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.5.b,Total count of systems (from 1.1.2) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.5.d,Total count of tests performed,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.6.a,Total count of systems (from 1.1.1) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.6.b,Total count of systems (from 1.1.2) that were subject to this form of testing,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.1.6.d,Total count of tests performed,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.2,Have all HVA Tier 1 systems received a CISA Assessment in the past 3 years?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.2.1,How many systems from 1.1.5 have received CISA Tier 1 Assessment in FY23? This number should be reported as Fiscal Year to date.,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.2.2,"How many Systems from 1.1.5 have received Agency Non-Tier 1 Assessments (NT1) [31] in FY23? This number should be reported as Fiscal Year to date.	",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.3.1,"Does the agency have a centralized red team, decentralized red teams, or no red team(s)?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.3.2,"In the past year, how many of the agency's cloud services (from 1.5) have performed a red team exercise on themselves?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.3.2.1,How many of these cloud services (from 7.3.2) are required by contract to tell the agency if they have performed a red team exercise in the past year?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.3.2.2,"Of those cloud services (7.3.2.1), how many are required by contract to share full detailed [33] results with the agency?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.3.2.3,"How many of the agency's cloud service providers who are not contractually required to report red team exercise results did, in fact, report those results to the agency?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.4.1,"Do agency red team and penetration testing activities incorporate active tactics, techniques and procedures (TTPs) from threat intelligence?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.4.2,"Does your agency have a Governance, Risk, and Compliance (GRC) tool?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.4.2.1,"If yes, does your agency's GRC tool incorporate technical indicators from threat intelligence into its processes in an automated manner?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.4.2.2,"If yes, does your agency's GRC tool have the ability to consume Open Security Controls Assessment Language (OSCAL)?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.4.3,Does your agency integrate threat intelligence into a SIEM?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.4.4,Do your CIO and CISO have TS/SCI clearances?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.4.4.1,Do your CIO and CISO with TS/SCI clearances have access to a secure terminal?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.5.1,"Does the agency have a centralized blue team, decentralized blue teams, or no blue team(s)?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,7.6.1,How many threat model exercises [35] were conducted in the last reporting period?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,8.1,Does your agency have a centralized [36] patch management process?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,8.1.1,"If no, does your agency set centralized policies and standards for a patch management process?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,8.1.2,"If yes, does the agency’s centralized patch management process utilize the severity of a vulnerability (e.g., KEV, CVSS, SSVC) to prioritize patches?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,8.2,Does your patching prioritization process leverage significant automation? [37],,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,8.2.1,"If yes, what percentage of software assets are covered by automation?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,8.3,"Has the agency achieved the capabilities to, and consistently met, the actions required as of April 3, 2023, under Binding Operational Directive 23-01?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,8.4,Mean time to remediation of Known Exploited Vulnerabilities (KEVs) in days [38],.,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.1,"What is the status of the agency’s Vulnerability Disclosure Program (VDP), per OMB Memorandum M-20-32, Improving Vulnerability Identification, Management, and Remediation?",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.2,Number of internet-accessible [39] Federal information systems (from 1.1) that are not in scope of the agency’s VDP policy.,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.3.1,Number of vulnerability disclosure reports,,VDP
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.3.2,"Number of reported vulnerabilities determined to be valid (e.g., in scope and not false-positive)",,VDP
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.3.3,Number of currently open and valid reported vulnerabilities,,VDP
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.3.4,Median age (in days from receipt of the report) of currently open and valid reported vulnerabilities,,VDP
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.3.5,Median time to validate a submitted report,,VDP
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.3.6,Median time to remediate/mitigate a valid report,,VDP
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,9.3.7,Median time to initially respond to the reporter,,VDP
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.1.1,Incident response plan,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.1.2,Disaster recovery plan,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.2,Does the agency have an Enterprise-wide Department or Agency Office of the CIO Business Continuity Plan (either stand-alone or as part of your incident response or disaster recovery plans)?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.3,"Number of HVA systems (from 1.1.5) for which an Information System Contingency Plan (ISCP) has been developed to guide the process for assessment and recovery of the system following a disruption (NIST SP 800-53r5 CP-2(1), NIST SP 800-34)",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.3.1,"Number of HVA systems (from 1.1.5) that have an alternate processing site identified and provisioned, operate multiple redundant sites for resiliency, or can be provisioned within the organization-defined time period for resumption (NIST SP 800-53r5 CP-7(4))",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.3.2,Number of HVA systems (from 10.3.1) for which alternate processing site or redundant sites have been tested in the past year,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.4,Mean Time To Detect [40],  ,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.5,Mean Time To Identify [41],  ,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.6,Mean Time To Recover [42],  ,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.7,Mean Time To Resolve [43],  ,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.8.1.1,At least one EDR platform in the Agency,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.8.1.2,A mobile threat defense [44] (MTD) or other EDR-equivalent solution for non-conforming devices,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.8.1.3,"The enterprise EDR platform identified by the agency in question 10.8.2 (if no enterprise EDR platform is selected, this is 0)",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.8.2,Has your agency selected an enterprise endpoint detection and response (EDR) platform for the agency/department to implement as outlined in OMB Memorandum 22-01?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.8.2.1,Please provide the number of EDR platforms deployed across the agency. [45],,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,10.8.3,"Referring to CISA’s EDR Maturity Model (required by M-22-01), please select an operational level of maturity (initial, advanced, optimal) for your agency’s utilization of EDR technology(ies) in your enterprise:  
	

	Guidance:
	


	Initial Maturity: Intermittent operational use, alerts are triaged manually, as well as on an ad-hoc basis.
	

	Advanced Maturity: Moderate level of expertise depending on SOC. Tool tuning, scheduled sweeps, and conducting threat hunting activities. Some automation employed to triage events and alerts. False positives are significantly reduced.
	

	Optimal Maturity: Highly tuned and integrated into daily SOC operations (security event/incident investigations) with well-practiced incident response playbooks (automated if possible), and comprehensive reporting. False positives are exceptionally rare and automation is heavily employed to minimize human interactions with the EDR solution to triage common alerts. Dynamic policies are employed to allow the EDR solution to go beyond static identification and detection of anomalous activity.
	",,
